point_a,point_b,distance,max_speed,road_condition,traffic_condition,date,departure_time,vehicle_type,driver_age,travel_time
"120 Broadway, New York, NY","1 Infinite Loop, Cupertino, CA",2891,76.12,3,0,2023-08-18,03:00,Car/Trailer,22,52.14
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,72.45,1,2,2023-08-29,05:54,Semi-truck,20,55.62
"1 Infinite Loop, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,67.87,2,0,2023-11-07,19:01,Semi-truck,59,1.14
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,66.33,0,0,2023-08-25,10:38,SUV,38,41.5
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,65.44,2,1,2023-03-16,16:19,Car/Trailer,66,15.44
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,67.66,0,0,2023-08-07,15:05,Sedan,24,6.34
"742 Evergreen Terrace, Springfield, IL","1600 Amphitheatre Parkway, Mountain View, CA",2171,68.97,0,0,2023-09-07,04:41,Motorcycle,42,39.08
"1 Infinite Loop, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,70.93,0,2,2023-12-29,01:22,SUV,22,0.89
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,72.05,3,0,2023-10-13,23:11,Sedan,42,55.37
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,70.29,0,2,2023-12-05,10:30,Motorcycle,64,54.78
"500 Terry A Francois Blvd, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,75.83,2,1,2023-11-02,13:13,SUV,18,3.61
"1 Microsoft Way, Redmond, WA","701 5th Ave, Seattle, WA",16,67.74,3,0,2023-11-01,04:06,Sedan,23,1.15
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,74.25,1,2,2023-06-05,06:26,Sedan,28,39.43
"11 Wall St, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,68.76,2,0,2023-12-12,14:52,SUV,59,4.71
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,65.42,3,1,2023-11-09,10:33,Truck,22,53.23
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,68.82,2,1,2023-03-11,14:42,Sedan,29,4.66
"1 Times Square, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,70.29,1,1,2023-10-14,20:40,Semi-truck,45,4.02
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,68.36,2,2,2023-01-01,13:51,Sedan,18,52.87
"701 5th Ave, Seattle, WA","233 S Wacker Dr, Chicago, IL",2065,73.66,2,2,2023-07-04,01:30,Semi-truck,66,38.53
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,74.96,2,0,2023-01-07,08:21,Truck,31,5.55
"1 Franklin Pkwy, San Mateo, CA","1 Infinite Loop, Cupertino, CA",128,70.06,0,2,2023-03-14,09:13,Motorcycle,20,4.74
"1 Infinite Loop, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,64.15,3,2,2023-04-27,13:38,Sedan,39,0.96
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,68.4,1,0,2023-02-01,18:57,Semi-truck,51,4.74
"1 Hacker Way, Menlo Park, CA","1 Infinite Loop, Cupertino, CA",128,73.97,1,2,2023-11-10,16:03,SUV,30,2.82
"500 Terry A Francois Blvd, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,70.94,3,2,2023-10-19,12:41,Motorcycle,67,3.01
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,71.39,3,2,2023-07-31,04:29,Car/Trailer,23,4.82
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,68.93,0,1,2023-09-25,08:00,SUV,67,10.47
"1 Market St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,73.95,3,1,2023-07-07,21:49,SUV,54,3.2
"1 Hacker Way, Menlo Park, CA","1600 Amphitheatre Parkway, Mountain View, CA",128,69.24,3,2,2023-03-02,18:23,Motorcycle,48,2.41
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,65.71,3,2,2023-07-27,21:51,Car/Trailer,33,5.45
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,76.02,2,2,2023-01-03,20:25,SUV,36,4.33
"500 Terry A Francois Blvd, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,72.98,0,1,2023-11-28,17:41,Motorcycle,20,3.08
"405 Lexington Ave, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,69.67,3,0,2023-03-18,21:59,Sedan,26,4.22
"1 Apple Park Way, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,75.1,0,0,2023-02-23,17:44,Sedan,58,1.93
"701 5th Ave, Seattle, WA","233 S Wacker Dr, Chicago, IL",2065,73.3,3,1,2023-12-17,17:23,Truck,51,37.67
"1500 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,65.82,3,2,2023-08-11,17:51,Truck,63,4.63
"742 Evergreen Terrace, Springfield, IL","1600 Amphitheatre Parkway, Mountain View, CA",2171,74.73,2,2,2023-11-15,23:57,SUV,28,40.21
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,70.18,1,2,2023-09-05,19:11,SUV,33,13.41
"1 Hacker Way, Menlo Park, CA","350 5th Ave, New York, NY",2885,68.73,0,2,2023-05-22,03:52,Car/Trailer,68,55.74
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,70.28,1,2,2023-07-20,13:41,Motorcycle,58,51.88
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,71.69,0,2,2023-06-25,08:36,Truck,62,5.07
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,74.8,0,2,2023-05-25,08:32,Car/Trailer,68,14.59
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,69.71,3,2,2023-10-27,18:45,Motorcycle,43,47.98
"1 Times Square, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,67.97,1,1,2023-09-12,01:50,Car/Trailer,39,5.11
"1 Infinite Loop, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,71.22,0,0,2023-05-18,22:43,SUV,48,1.41
"1 Market St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,65.47,2,0,2023-05-31,16:47,Car/Trailer,53,2.79
"742 Evergreen Terrace, Springfield, IL","1600 Amphitheatre Parkway, Mountain View, CA",2171,63.91,0,0,2023-09-22,00:35,Car/Trailer,45,41.69
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,67.43,2,0,2023-03-01,07:54,Motorcycle,58,54.93
"1 Microsoft Way, Redmond, WA","701 5th Ave, Seattle, WA",16,71.13,1,1,2023-03-14,03:46,Sedan,44,1.09
"100 Universal City Plaza, Universal City, CA","1 Infinite Loop, Cupertino, CA",343,66.75,3,2,2023-09-19,12:11,Truck,27,7.03
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,76.7,1,0,2023-12-07,04:33,Car/Trailer,31,50.62
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,71.97,1,1,2023-03-26,02:19,SUV,50,4.42
"4 Pennsylvania Plaza, New York, NY","1500 Sugar Bowl Dr, New Orleans, LA",1193,74.36,2,1,2023-10-22,18:53,Sedan,20,23.62
"1 Times Square, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,65.34,3,1,2023-03-08,05:35,SUV,67,4.57
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,72.6,1,2,2023-06-09,23:45,Car/Trailer,32,6.38
"1600 Amphitheatre Parkway, Mountain View, CA","1 Infinite Loop, Cupertino, CA",43,75.34,2,0,2023-08-30,19:57,Truck,22,0.75
"1600 Pennsylvania Ave NW, Washington, DC","350 5th Ave, New York, NY",226,69.22,0,0,2023-12-26,19:01,Motorcycle,31,5.65
"1500 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,70.29,0,2,2023-04-10,02:17,Motorcycle,39,4.65
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,72.78,2,0,2023-03-19,16:41,Sedan,34,4.4
"1 Franklin Pkwy, San Mateo, CA","1 Infinite Loop, Cupertino, CA",128,74.12,1,1,2023-04-08,18:52,Car/Trailer,24,3.16
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,66.52,1,2,2023-05-25,20:02,Car/Trailer,68,5.4
"721 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2887,71.43,2,1,2023-09-01,19:41,Semi-truck,42,52.41
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,70.53,1,1,2023-10-14,04:43,Motorcycle,64,55.97
"405 Lexington Ave, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,68.72,2,1,2023-04-20,08:35,Truck,20,4.13
"701 5th Ave, Seattle, WA","233 S Wacker Dr, Chicago, IL",2065,76.03,0,2,2023-05-27,23:29,Sedan,38,36.49
"1600 Amphitheatre Parkway, Mountain View, CA","1 Infinite Loop, Cupertino, CA",43,74.41,2,1,2023-04-13,00:50,Sedan,46,1.7
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,70.93,0,1,2023-12-30,19:04,Truck,34,4.65
"45 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,67.66,0,0,2023-01-01,01:11,Truck,32,4.75
"350 5th Ave, New York, NY","233 S Wacker Dr, Chicago, IL",791,69.42,0,1,2023-02-09,23:17,Motorcycle,50,15.69
"2755 Station Club Dr, Suwanee, GA","350 5th Ave, New York, NY",754,68.39,2,1,2023-02-22,10:46,SUV,38,13.78
"1211 Avenue of the Americas, New York, NY","350 5th Ave, New York, NY",226,75.8,1,0,2023-03-28,08:06,Semi-truck,35,4.61
"1211 Avenue of the Americas, New York, NY","350 5th Ave, New York, NY",226,74.0,0,1,2023-10-10,17:09,Car/Trailer,36,4.65
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,69.74,0,0,2023-02-02,13:37,Car/Trailer,30,49.38
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,74.62,1,2,2023-11-22,08:52,Motorcycle,59,36.9
"1211 Avenue of the Americas, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,69.43,1,1,2023-11-13,01:53,Sedan,49,5.15
"1 Times Square, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,74.34,0,2,2023-10-10,09:58,Sedan,20,4.38
"100 Universal City Plaza, Universal City, CA","1600 Amphitheatre Parkway, Mountain View, CA",343,71.47,1,0,2023-06-25,13:49,Motorcycle,50,7.0
"701 5th Ave, Seattle, WA","233 S Wacker Dr, Chicago, IL",2065,64.81,0,2,2023-05-09,05:23,Sedan,35,40.02
"100 Universal City Plaza, Universal City, CA","1 Infinite Loop, Cupertino, CA",343,68.12,3,1,2023-09-28,04:45,Motorcycle,61,6.49
"405 Lexington Ave, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,65.21,1,2,2023-07-10,07:24,SUV,68,5.41
"1211 Avenue of the Americas, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,69.17,1,1,2023-12-20,21:29,Motorcycle,35,5.32
"721 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2887,70.87,3,2,2023-05-18,17:30,Semi-truck,28,55.18
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,74.07,1,0,2023-03-19,10:38,Motorcycle,31,38.32
"721 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",226,69.35,1,2,2023-03-08,12:07,Truck,47,3.98
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,67.84,2,2,2023-12-06,05:54,Sedan,18,14.71
"1 Times Square, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,67.07,2,0,2023-06-29,23:23,Car/Trailer,20,4.39
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,77.07,1,2,2023-10-25,01:21,Car/Trailer,57,50.56
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,74.22,0,2,2023-03-09,17:25,Car/Trailer,26,15.51
"350 5th Ave, New York, NY","233 S Wacker Dr, Chicago, IL",791,67.59,3,0,2023-12-27,16:59,Sedan,59,17.41
"1 Googleplex, Mountain View, CA","233 S Wacker Dr, Chicago, IL",2141,71.88,2,2,2023-04-26,17:07,SUV,67,37.18
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,68.56,0,2,2023-11-27,08:03,Motorcycle,51,5.98
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,68.49,3,1,2023-05-14,09:16,Motorcycle,22,4.85
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,70.44,0,2,2023-08-12,04:14,Sedan,54,36.9
"1 Market St, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,74.81,3,2,2023-05-23,20:56,Truck,46,3.68
"45 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,76.77,0,0,2023-07-20,04:27,Sedan,24,4.0
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,75.28,2,0,2023-09-24,04:41,Sedan,27,6.17
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,76.28,1,1,2023-10-27,10:27,Semi-truck,45,9.81
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,74.3,2,1,2023-07-28,18:56,Motorcycle,40,4.49
"1 Apple Park Way, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,67.66,3,1,2023-01-26,21:37,Semi-truck,68,1.11
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,70.31,1,2,2023-10-18,01:07,SUV,23,4.98
"350 5th Ave, New York, NY","1 Infinite Loop, Cupertino, CA",2907,70.34,1,1,2023-07-07,22:53,SUV,49,54.02
"233 S Wacker Dr, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2140,63.03,1,1,2023-08-28,01:51,Motorcycle,53,41.53
"500 Terry A Francois Blvd, San Francisco, CA","1 Infinite Loop, Cupertino, CA",128,72.52,1,0,2023-07-06,10:07,Sedan,27,3.04
"30 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,69.8,1,0,2023-07-24,19:52,Sedan,33,5.99
"1211 Avenue of the Americas, New York, NY","350 5th Ave, New York, NY",226,69.37,3,0,2023-12-18,05:47,SUV,58,5.46
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,63.49,3,0,2023-08-24,15:24,Car/Trailer,45,5.64
"1211 Avenue of the Americas, New York, NY","350 5th Ave, New York, NY",226,74.9,2,1,2023-01-25,06:19,Semi-truck,50,4.7
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,76.01,1,0,2023-07-16,17:42,SUV,44,3.83
"1 Hacker Way, Menlo Park, CA","1600 Amphitheatre Parkway, Mountain View, CA",128,74.84,2,1,2023-04-21,04:15,Truck,57,2.65
"1 Hacker Way, Menlo Park, CA","1600 Amphitheatre Parkway, Mountain View, CA",128,71.39,0,1,2023-08-05,14:26,SUV,45,2.75
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,76.08,1,1,2023-08-23,12:30,Motorcycle,45,50.93
"30 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,71.21,0,1,2023-06-23,18:46,SUV,29,5.42
"1 Infinite Loop, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,64.26,2,2,2023-10-16,01:23,SUV,47,1.31
"1 Times Square, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,64.12,2,0,2023-03-18,11:50,Sedan,63,4.73
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,70.46,2,1,2023-09-20,19:55,Semi-truck,60,4.21
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,68.33,0,2,2023-10-05,18:15,Motorcycle,54,52.02
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,67.33,2,2,2023-05-18,13:43,Motorcycle,60,15.68
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,68.56,0,0,2023-12-26,15:50,Sedan,30,42.55
"1 Franklin Pkwy, San Mateo, CA","1 Infinite Loop, Cupertino, CA",128,69.51,2,0,2023-07-09,20:32,Sedan,23,2.94
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,74.29,3,1,2023-12-08,06:44,Car/Trailer,59,40.27
"1 Franklin Pkwy, San Mateo, CA","1 Infinite Loop, Cupertino, CA",128,66.36,0,2,2023-04-18,16:37,Car/Trailer,67,3.66
"1500 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,70.68,2,0,2023-01-27,18:09,Semi-truck,34,4.93
"1 Googleplex, Mountain View, CA","1 Apple Park Way, Cupertino, CA",43,67.21,2,0,2023-03-11,17:41,Sedan,62,1.27
"401 N Michigan Ave, Chicago, IL","1600 Amphitheatre Parkway, Mountain View, CA",2142,72.94,1,1,2023-08-22,03:05,Car/Trailer,24,39.43
"1 Dr Carlton B Goodlett Pl, San Francisco, CA","1600 Pennsylvania Ave NW, Washington, DC",2835,69.48,3,2,2023-06-30,15:47,Motorcycle,54,52.82
"1 Franklin Pkwy, San Mateo, CA","1 Infinite Loop, Cupertino, CA",128,69.09,2,2,2023-08-12,18:44,Semi-truck,37,3.13
"1211 Avenue of the Americas, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,73.87,3,0,2023-04-08,19:35,Truck,48,4.6
"120 Broadway, New York, NY","1 Infinite Loop, Cupertino, CA",2891,66.71,2,0,2023-02-26,07:43,SUV,65,56.94
"721 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2887,77.05,2,0,2023-01-08,12:04,Motorcycle,46,49.37
"1515 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,66.32,1,1,2023-10-18,19:49,Motorcycle,46,4.28
"1 World Trade Center, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,61.94,3,1,2023-07-12,20:14,Car/Trailer,67,4.77
"120 Broadway, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,66.89,2,2,2023-07-07,23:05,Sedan,24,5.52
"1 Hacker Way, Menlo Park, CA","350 5th Ave, New York, NY",2885,69.83,0,2,2023-10-03,09:32,Sedan,63,53.0
"30 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,73.68,0,2,2023-08-24,19:52,Car/Trailer,22,4.41
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,73.85,2,0,2023-06-11,06:49,Sedan,50,14.71
"400 Broad St, Seattle, WA","1600 Amphitheatre Parkway, Mountain View, CA",842,69.87,2,2,2023-07-29,10:03,Motorcycle,18,18.17
"1 Googleplex, Mountain View, CA","1 Apple Park Way, Cupertino, CA",43,71.08,1,0,2023-05-15,04:58,Motorcycle,33,1.14
"405 Lexington Ave, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,68.89,0,2,2023-01-19,01:10,SUV,55,4.86
"1 Googleplex, Mountain View, CA","233 S Wacker Dr, Chicago, IL",2141,73.46,3,2,2023-09-13,22:55,Semi-truck,25,39.15
"100 Universal City Plaza, Universal City, CA","1 Infinite Loop, Cupertino, CA",343,69.03,3,2,2023-12-18,23:07,Truck,58,7.41
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,71.39,3,1,2023-01-09,18:38,Truck,68,13.94
"2755 Station Club Dr, Suwanee, GA","350 5th Ave, New York, NY",754,70.97,2,2,2023-08-22,19:49,Motorcycle,41,15.11
"2755 Station Club Dr, Suwanee, GA","1600 Pennsylvania Ave NW, Washington, DC",546,68.0,1,2,2023-07-20,21:38,Semi-truck,36,10.95
"2755 Station Club Dr, Suwanee, GA","350 5th Ave, New York, NY",754,64.81,0,0,2023-06-19,13:11,Motorcycle,40,14.1
"1 Apple Park Way, Cupertino, CA","600 Montgomery St, San Francisco, CA",43,70.74,2,2,2023-07-09,23:08,Motorcycle,57,1.84
"1 Googleplex, Mountain View, CA","233 S Wacker Dr, Chicago, IL",2141,70.62,1,1,2023-10-11,10:18,Sedan,51,41.8
"30 Rockefeller Plaza, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",228,70.28,0,0,2023-08-28,18:47,Motorcycle,64,5.46
"1211 Avenue of the Americas, New York, NY","1600 Pennsylvania Ave NW, Washington, DC",227,72.11,3,1,2023-02-14,04:02,Semi-truck,54,4.71
"1515 Broadway, New York, NY","233 S Wacker Dr, Chicago, IL",791,64.4,3,1,2023-11-18,09:02,Sedan,47,16.11
"1515 Broadway, New York, NY","1600 Amphitheatre Parkway, Mountain View, CA",2889,68.73,1,1,2023-06-12,01:50,Motorcycle,52,54.01
"1 Microsoft Way, Redmond, WA","701 5th Ave, Seattle, WA",16,69.51,3,0,2023-09-08,18:54,SUV,18,0.66
"4 Pennsylvania Plaza, New York, NY","1500 Sugar Bowl Dr, New Orleans, LA",1193,69.42,3,1,2023-07-25,06:16,Sedan,69,21.35
"1211 Avenue of the Americas, New York, NY","350 5th Ave, New York, NY",226,70.89,0,1,2023-10-01,21:28,Sedan,55,4.55
